Column1.1.1,Column1.1.2,Column1.1.3,Column1.1.4,Column1.1.5,Column1.1.6,Column1.1.7,Column1.1.8,Column1.1.9,Column1.1.10,Column1.1.11,Column1.1.12,Column1.1.13,Column1.1.14,Column1.1.15,Column1.1.16,Column1.1.17,Column1.1.18,Column1.1.19,Column1.1.20,Column1.1.21,Column1.1.22,Column1.1.23,Column1.1.24,Column1.1.25,Column1.1.26,Column1.1.27,Column1.1.28,Column1.1.29
1,1350000,73,670000,780000,2020000,20330000,1780000,10740000,13360000,15760000,32230000,9960500,39670,242040000,1862660000,1863000000,8590000,1845020000,1878800000,1830000000,1820000000,53680,255,0,0,0,1,
1,1430000,71,730000,810000,2190000,12360000,1070000,6120000,9040000,8940000,18350000,9984710,15310,287290000,2005770000,2004770000,7550000,1986650000,2022140000,1940000000,1930000000,49880,198,0,0,0,1,
1,1620000,80,870000,890000,2600000,13380000,1170000,6300000,9480000,10170000,18910000,9980210,19840,273490000,2028680000,2024250000,18600000,1972200000,2060600000,1980000000,1970000000,49402,460,0,0,0,1,
1,1400000,69,750000,890000,2240000,10860000,940000,5560000,7470000,8230000,16670000,9991540,8470,321140000,2040270000,2040900000,9310000,2023240000,2061820000,2000000000,1990000000,48999,229,0,0,0,1,
1,1500000,72,800000,970000,2400000,10490000,910000,5330000,6980000,7770000,15990000,9992950,7060,328160000,2075190000,2074680000,8800000,2054070000,2099270000,2040000000,2030000000,48196,217,0,0,0,1,
1,2080000,92,770000,950000,2300000,12410000,1090000,4870000,7150000,15680000,14610000,9983780,16310,309600000,2248120000,2264350000,62240000,2184550000,2435230000,2210000000,2200000000,44164,1199,0,0,0,1,
1,1488,90213,9,794,2699,8334,779,4517,4609,6802,13551,905905,119116,1113,166533,164781,10421,142229,187576,160,159,6064725,416276,0,0,0,23,1
1,728,37698,353,376,1059,5864,642,2058,318,7194,6175,951285,66758,17403,195252,193289,14773,159515,234505,170,169,5181253,403494,2247,0,0,23,1
1,122,74041,732,67,2196,8719,875,4347,5166,7548,1304,911508,109983,12212,158689,164768,12981,146445,211442,1431,1427,6070749,474289,10656,1,178,23,1
1,2502,122824,1156,1634,3469,13513,1273,5263,8771,16779,15789,901302,121982,11384,201997,203471,10853,182713,22023,94,92,4910018,319794,0,0,0,23,1
1,3509,166927,1715,1539,5145,9112,104,3102,4927,12823,9307,856907,236831,10653,211887,20844,11499,182821,225162,117,114,4757233,379996,18182,1,13318,23,1
1,247,126412,1358,1341,4075,10696,1256,5262,7076,9199,15787,897708,152955,11987,195952,195222,4692,186593,202812,74,73,5117622,187458,23214,0,0,23,1
1,1583,82305,768,864,2303,9057,107,3794,5158,767,11381,935717,78695,13705,195535,192316,7512,177299,200638,85,84,5199229,245254,4348,0,0,23,1
1,192,98625,926,1031,2777,10184,1108,365,4611,7127,10951,898598,147518,124,196745,194284,5979,181465,201921,71,70,5137138,214895,33929,0,0,23,1
1,2257,119196,1239,153,3716,8044,877,3449,4239,7654,10346,877616,217236,12831,191345,185423,21878,86139,210523,107,104,5282166,34787,15152,2,981,23,1
1,1594,8504,85,951,255,72,823,248,3826,9228,744,917596,112336,14039,190838,187775,10087,166895,203133,113,112,5335094,332135,0,0,0,23,1
1,2286,122261,1081,1257,3243,8994,938,3386,5646,11253,10157,881269,168753,11084,192349,188506,10386,167436,202273,95,93,5348273,374082,21212,1,7819,23,1
1,1728,92615,807,1056,2422,9779,984,41,6374,9107,12299,890381,152535,1197,189213,186832,11257,162412,201261,97,95,5360312,365944,7143,1,8449,23,1
1,2105,109648,902,1076,2707,6163,718,2403,3163,5009,7208,886134,188092,14644,193824,19237,7748,171394,217449,107,104,5207794,646434,0,0,0,23,1
1,3343,164283,1349,1826,4047,12619,1316,5287,767,15858,15862,767751,401774,6754,208781,204866,21351,156807,239789,205,200,4913954,615819,35849,3,29424,23,1
1,2025,99298,1028,1251,3084,11047,1244,4223,5973,12467,1267,891718,151406,11866,204,204431,17543,15402,231704,249,247,4904438,46058,18543,1,19702,23,1
1,2517,118023,116,135,3479,14327,1359,582,9451,18515,17461,821869,283381,8432,218121,213528,17347,152524,238611,205,203,4689009,43491,46907,1,25694,23,1
1,329,149035,1567,1822,4702,12714,1363,4259,6697,15432,12778,853435,20711,9847,218273,220118,31456,132023,270998,265,260,4530313,702784,37745,3,26397,23,1
1,5534,258089,238,3171,714,1354,1512,6187,10903,16528,1856,715071,503734,5139,206243,215207,17874,189858,249317,55,52,4663458,515417,30303,2,10936,23,1
1,1137,53524,473,608,1418,8963,936,2998,5017,11826,8995,923972,94186,14819,216478,212661,16789,176776,238226,96,95,4706454,388579,13559,0,0,23,1
1,2162,99442,1217,1059,3651,11294,1019,4621,5878,11646,13864,915221,112466,12562,218247,216358,10329,183681,229597,88,87,4599888,278232,13462,0,0,23,1
1,1533,7623,462,34,1387,9921,956,3153,5111,8569,9458,874335,200621,1182,200023,200385,23693,139146,230593,99,97,4972112,641998,16949,0,0,23,1
1,2783,135293,1221,1338,3663,14779,1374,5009,916,22177,15027,792154,329135,7225,207392,20626,24291,138236,247715,101,98,4861469,65103,29412,1,3175,23,1
1,3999,187606,1928,2231,5784,16509,1363,7845,11732,16951,23535,757837,386043,575,209238,21378,21285,16974,245629,81,79,4691482,520954,36066,1,18924,23,1
1,2227,105967,1014,1418,3043,1165,103,4018,6837,18322,12053,864694,202693,10224,20871,210295,15966,179942,240225,100,99,4757372,397639,11321,0,0,23,1
1,1728,78865,811,82,2433,12257,1066,4765,8437,15479,14295,865475,187481,1009,211747,219549,2005,172461,260814,101,99,4563774,424291,7407,1,3648,23,1
1,2638,123954,1418,1477,4253,8977,827,2936,4644,8139,8807,880416,200366,12549,207941,213566,16238,187725,252802,93,92,4698063,366663,16667,0,0,23,1
